,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,Name,Team,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
73,Rodin Quiñónes,Boyacá Patriot,2020-02-16,Sun,Primera A,First stage,Home,L 0–2,Boyacá Patriot,Santa Fe,Y,RW,54,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,,,Match Report
74,Rodin Quiñónes,Boyacá Patriot,2020-02-23,Sun,Primera A,First stage,Away,D 0–0,Boyacá Patriot,Once Caldas,N,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,Match Report
75,Rodin Quiñónes,Boyacá Patriot,2020-02-29,Sat,Primera A,First stage,Home,D 1–1,Boyacá Patriot,Boyacá Chicó,N,,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,Match Report
76,Rodin Quiñónes,Boyacá Patriot,2020-03-08,Sun,Primera A,First stage,Away,L 0–1,Boyacá Patriot,Tolima,N,,28,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,,Match Report
77,Rodin Quiñónes,Boyacá Patriot,2020-09-19,Sat,Primera A,First stage,Home,L 0–1,Boyacá Patriot,Envigado,Y,FW,82,0,0,0,0,1,0,0,0,2,2,0,3,1,0,0,,,Match Report
78,Rodin Quiñónes,Boyacá Patriot,2020-09-26,Sat,Primera A,First stage,Away,D 1–1,Boyacá Patriot,CA Bucaramanga,N,,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,Match Report
79,Rodin Quiñónes,Boyacá Patriot,2020-10-04,Sun,Primera A,First stage,Home,D 0–0,Boyacá Patriot,Junior,Y,AM,66,0,0,0,0,0,0,0,0,3,2,0,3,1,1,0,,,Match Report
80,Rodin Quiñónes,Boyacá Patriot,2020-10-08,Thu,Primera A,First stage,Away,L 0–3,Boyacá Patriot,Rionegro,Y,AM,73,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,,,Match Report
81,Rodin Quiñónes,Boyacá Patriot,2020-10-11,Sun,Primera A,First stage,Away,L 0–3,Boyacá Patriot,CD América,N,,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,Match Report
82,Rodin Quiñónes,Boyacá Patriot,2020-10-17,Sat,Primera A,First stage,Away,L 0–1,Boyacá Patriot,Millonarios,N,,16,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,,,Match Report
83,Rodin Quiñónes,Boyacá Patriot,2020-10-25,Sun,Primera A,First stage,Home,W 2–1,Boyacá Patriot,Nacional,N,,10,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,Match Report
84,Rodin Quiñónes,Boyacá Patriot,2020-11-14,Sat,Primera A,First stage,Home,W 2–0,Boyacá Patriot,Jaguares,N,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Match Report
85,Rodin Quiñónes,Boyacá Patriot,2020-12-09,Wed,Primera A,Liguilla,Away,L 0–2,Boyacá Patriot,Once Caldas,N,,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,Match Report
86,Carlos Ramírez,Boyacá Patriot,2020-02-04,Tue,Primera A,First stage,Home,D 0–0,Boyacá Patriot,AD Cali,N,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Match Report
87,Carlos Ramírez,Boyacá Patriot,2020-02-07,Fri,Primera A,First stage,Away,L 1–3,Boyacá Patriot,Independiente,Y,FW,58,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,Match Report
88,Carlos Ramírez,Boyacá Patriot,2020-02-16,Sun,Primera A,First stage,Home,L 0–2,Boyacá Patriot,Santa Fe,N,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Match Report
89,Carlos Ramírez,Boyacá Patriot,2020-10-08,Thu,Primera A,First stage,Away,L 0–3,Boyacá Patriot,Rionegro,N,,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Match Report
90,Carlos Ramírez,Boyacá Patriot,2020-10-11,Sun,Primera A,First stage,Away,L 0–3,Boyacá Patriot,CD América,Y,FW,90,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,,,Match Report
91,Carlos Ramírez,Boyacá Patriot,2020-10-14,Wed,Primera A,First stage,Home,D 1–1,Boyacá Patriot,Pasto,Y,FW,90,0,0,0,0,2,1,0,0,1,1,0,0,1,0,0,,,Match Report
92,Carlos Ramírez,Boyacá Patriot,2020-10-17,Sat,Primera A,First stage,Away,L 0–1,Boyacá Patriot,Millonarios,Y,FW,58,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,,,Match Report
93,Carlos Ramírez,Boyacá Patriot,2020-10-25,Sun,Primera A,First stage,Home,W 2–1,Boyacá Patriot,Nacional,Y,FW,89,1,0,0,0,3,1,1,0,2,1,1,0,1,0,0,,,Match Report
94,Carlos Ramírez,Boyacá Patriot,2020-11-03,Tue,Primera A,First stage,Away,D 0–0,Boyacá Patriot,Alianza,Y,FW,64,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,,,Match Report
95,Carlos Ramírez,Boyacá Patriot,2020-11-10,Tue,Primera A,First stage,Away,L 0–1,Boyacá Patriot,La Equidad,N,,23,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,,,Match Report
96,Carlos Ramírez,Boyacá Patriot,2020-11-14,Sat,Primera A,First stage,Home,W 2–0,Boyacá Patriot,Jaguares,N,,35,1,0,0,0,3,1,0,0,0,1,1,0,0,0,0,,,Match Report
97,Carlos Ramírez,Boyacá Patriot,2020-11-30,Mon,Primera A,Liguilla,Away,W 3–1,Boyacá Patriot,Boyacá Chicó,N,,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,Match Report
98,Carlos Ramírez,Boyacá Patriot,2020-12-04,Fri,Primera A,Liguilla,Home,L 2–3,Boyacá Patriot,Millonarios,N,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,Match Report
99,Breyner Zapata,Boyacá Patriot,2020-09-19,Sat,Primera A,First stage,Home,L 0–1,Boyacá Patriot,Envigado,N,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Match Report
100,Breyner Zapata,Boyacá Patriot,2020-09-26,Sat,Primera A,First stage,Away,D 1–1,Boyacá Patriot,CA Bucaramanga,Y,CB,90,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,,,Match Report
101,Breyner Zapata,Boyacá Patriot,2020-10-04,Sun,Primera A,First stage,Home,D 0–0,Boyacá Patriot,Junior,Y,CB,90,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,,,Match Report
102,Breyner Zapata,Boyacá Patriot,2020-10-08,Thu,Primera A,First stage,Away,L 0–3,Boyacá Patriot,Rionegro,Y,CB,90,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,,,Match Report
