,Name,Team,Comp,avg_goal,w_percentage,l_percentage,Min_sd,Gls_sd,Ast_sd,PK_sd,PKatt_sd,Sh_sd,SoT_sd,CrdY_sd,CrdR_sd,Fls_sd,Fld_sd,Off_sd,Crs_sd,TklW_sd,Int_sd,OG_sd,Min_n,Gls_n,Ast_n,PK_n,PKatt_n,CrdY_n,CrdR_n,Sh_n,SoT_n,Fls_n,Fld_n,Off_n,Crs_n,Int_n,TklW_n,OG_n,competition,position,min_norm,group_min
58,Maicol Balanta,Tolima,1,0.082,0.429,0.408,25.017,0.475,0.385,0.0,0.0,1.088,0.61,0.387,0.0,0.722,1.34,0.912,1.995,0.565,0.67,0.0,1.47,3.0,1.429,0.0,0.0,1.707,1.538,0.476,0.0,0.843,1.278,5.625,1.892,0.622,0.82,0.0,15,M,0.394,2
59,Rafael Robayo,Tolima,1,-0.238,0.19,0.333,0.213,0.213,0.0,0.0,0.0,0.898,0.393,0.213,0.213,0.971,0.732,0.0,0.95,1.592,1.651,0.0,1.154,0.765,0.0,0.0,0.0,0.876,0.684,0.277,3.25,0.807,0.47,0.0,0.173,1.634,1.579,1e-05,13,M,1.0,1
60,Carlos Robles Rocha,Tolima,1,-0.088,0.353,0.382,10.965,0.235,0.0,0.0,0.0,1.225,0.642,0.456,0.0,1.072,0.885,0.373,0.976,1.15,1.317,0.0,2.174,1.529,0.0,0.0,0.0,2.243,2.139,2.6,0.0,2.007,0.908,0.951,0.735,2.955,2.332,1e-05,13,M,0.945,1
61,Nilson Castrillón,Tolima,1,-0.545,0.273,0.455,22.725,0.0,0.0,0.0,0.0,0.386,0.287,0.782,0.386,0.643,1.311,0.0,1.92,0.9,1.772,0.0,0.26,0.0,0.0,0.0,0.0,0.376,0.643,0.0,0.0,0.264,0.287,0.489,0.692,0.633,0.04,0.0,23,DM,0.897,2
62,Robin Ramírez,Tolima,1,0.0,0.4,0.45,29.965,0.4,0.218,0.0,0.218,1.245,0.843,0.357,0.0,1.549,1.005,0.583,0.671,0.9,0.458,0.0,1.227,0.914,0.727,0.0,0.8,1.194,1.349,1.2,0.0,1.743,0.7,1.939,0.396,1.507,1.333,1e-05,8,A,0.235,4
63,Andrés Escobar,Tolima,0,-0.765,0.235,0.529,19.679,0.322,0.235,0.0,0.0,1.185,0.57,0.471,0.235,0.904,0.941,0.322,1.176,0.456,0.381,0.0,0.245,0.765,1.083,1e-05,0.0,0.686,0.677,0.464,1e-05,0.385,0.179,0.0,0.194,0.287,0.485,1e-05,13,M,0.137,4
64,Fabián Sambueza,Junior,1,0.708,0.542,0.167,21.677,0.433,0.538,0.2,0.276,1.136,0.707,0.331,0.2,1.434,1.67,0.2,3.223,0.789,0.763,0.0,1.785,3.056,4.529,3.667,5.5,1.741,1.93,1.0,0.0,1.406,3.754,1.1,3.571,1.361,1.784,1e-05,11,M,0.632,1
65,Juan David Rodríguez,Junior,1,0.167,0.389,0.167,11.654,0.0,0.488,0.0,0.0,1.163,0.678,0.482,0.0,0.976,1.124,0.365,1.723,0.67,0.752,0.0,1.71,0.0,3.667,1e-05,1e-05,1.533,2.34,2.2,0.0,1.571,1.261,1.65,1.167,1.571,0.907,1e-05,11,M,0.401,2
66,Homer Martínez,Junior,1,-0.4,0.3,0.4,9.855,0.0,0.0,0.0,0.0,0.872,0.536,0.433,0.0,1.284,1.005,0.357,0.477,1.284,1.717,0.0,1.8,0.0,0.0,1e-05,0.0,1.28,1.233,1.667,0.0,1.851,0.966,2.455,0.167,2.691,2.519,1e-05,18,DM,0.38,3
67,Walmer Pacheco,Junior,1,0.234,0.468,0.277,8.211,0.202,0.144,0.0,0.0,0.792,0.393,0.517,0.144,1.357,1.619,0.0,1.116,0.967,1.358,0.0,1.674,0.762,0.0,0.0,0.0,0.988,1.103,2.667,5.333,2.0,3.847,0.0,1.664,2.688,2.261,1e-05,16,DM,0.341,3
68,John Pajoy,Junior,1,0.35,0.5,0.25,14.084,0.536,0.51,0.218,0.218,1.643,0.98,0.3,0.0,0.98,1.09,0.572,2.897,0.477,0.357,0.0,1.372,2.609,3.0,3.0,1.714,2.182,2.71,0.8,0.0,0.939,1.395,2.4,4.13,0.867,0.493,1e-05,12,AM,0.232,4
69,Edwin Velasco,Junior,1,0.423,0.423,0.269,15.751,0.0,0.192,0.0,0.0,0.421,0.0,0.538,0.192,1.687,1.315,0.385,1.549,0.958,1.413,0.0,1.513,0.0,8.0,1e-05,1e-05,0.8,0.0,1.739,8.0,2.079,2.588,5.333,3.545,1.818,1.283,1e-05,8,D,0.186,4
70,Fabián Viáfara,Junior,1,0.261,0.37,0.283,9.635,0.144,0.244,0.0,0.0,1.062,0.482,0.334,0.0,1.213,0.747,0.144,2.117,1.031,1.22,0.0,2.572,1.091,4.5,0.0,0.0,3.476,3.13,1.304,1e-05,2.932,2.104,1.714,6.417,2.924,2.118,1e-05,12,D,0.947,1
71,Didier Moreno,Junior,1,0.087,0.348,0.348,24.569,0.282,0.204,0.0,0.0,0.651,0.379,0.5,0.0,1.409,1.285,0.48,0.0,1.176,1.176,0.0,1.321,1.9,0.679,0.0,0.0,0.719,0.717,1.966,0.0,1.823,1.009,2.621,0.0,2.189,2.157,0.0,19,M,0.519,2
72,Miguel Borja,Junior,0,1.0,0.5,0.071,28.947,0.41,0.35,0.0,0.0,1.592,0.811,0.258,0.0,0.884,0.799,0.452,0.589,0.623,0.258,0.0,0.347,0.25,0.75,1e-05,1e-05,0.44,0.387,0.6,1e-05,0.482,0.314,0.2,0.923,0.316,0.0,1e-05,3,A,0.642,2
