,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
50,Luis Enrique Delgado,Pasto,https://www.fbref.com//en/squads/72f9f06e/2020/s10076/Pasto-Stats-Categoria-Primera-A,2020-03-01,Sun,Primera A,First stage,Home,L 1–2,Pasto,La Equidad,Y,GK,90,4,2,2,50.0,0,0,0,0,0,Match Report
51,Luis Enrique Delgado,Pasto,https://www.fbref.com//en/squads/72f9f06e/2020/s10076/Pasto-Stats-Categoria-Primera-A,2020-09-13,Sun,Primera A,First stage,Home,L 1–3,Pasto,Tolima,Y,GK,90,3,3,0,0.0,0,0,0,0,0,Match Report
52,Luis Enrique Delgado,Pasto,https://www.fbref.com//en/squads/72f9f06e/2020/s10076/Pasto-Stats-Categoria-Primera-A,2020-11-01,Sun,Primera A,First stage,Home,D 1–1,Pasto,Santa Fe,Y,GK,90,3,1,3,100.0,0,1,1,0,0,Match Report
53,Luis Enrique Delgado,Pasto,https://www.fbref.com//en/squads/72f9f06e/2020/s10076/Pasto-Stats-Categoria-Primera-A,2020-11-08,Sun,Primera A,First stage,Away,L 0–1,Pasto,Nacional,Y,GK,90,3,1,2,66.7,0,0,0,0,0,Match Report
54,Luis Enrique Delgado,Pasto,https://www.fbref.com//en/squads/72f9f06e/2020/s10076/Pasto-Stats-Categoria-Primera-A,2020-11-12,Thu,Primera A,First stage,Home,W 2–1,Pasto,Once Caldas,Y,GK,90,3,1,2,66.7,0,0,0,0,0,Match Report
55,Luis Enrique Delgado,Pasto,https://www.fbref.com//en/squads/72f9f06e/2020/s10076/Pasto-Stats-Categoria-Primera-A,2020-11-15,Sun,Primera A,First stage,Away,D 1–1,Pasto,Pereira,N,,51,3,0,3,100.0,0,0,0,0,0,Match Report
56,Luis Enrique Delgado,Pasto,https://www.fbref.com//en/squads/72f9f06e/2020/s10076/Pasto-Stats-Categoria-Primera-A,2020-11-22,Sun,Primera A,Quarter-finals,Home,W 1–0,Pasto,Santa Fe,Y,GK,90,3,0,3,100.0,1,0,0,0,0,Match Report
57,Luis Enrique Delgado,Pasto,https://www.fbref.com//en/squads/72f9f06e/2020/s10076/Pasto-Stats-Categoria-Primera-A,2020-11-29,Sun,Primera A,Quarter-finals,Away,L 0–2,Pasto,Santa Fe,Y,GK,90,2,2,0,0.0,0,0,0,0,0,Match Report
58,Luis Enrique Delgado,Pasto,https://www.fbref.com//en/squads/6466f662/2019/s3927/Rionegro-Stats-Categoria-Primera-A,2019-02-04,Mon,Primera A,Apertura Regular Season,Away,L 0–2,Rionegro,Tolima,Y,GK,90,4,2,2,50.0,0,0,0,0,0,Match Report
59,Luis Enrique Delgado,Pasto,https://www.fbref.com//en/squads/6466f662/2019/s3927/Rionegro-Stats-Categoria-Primera-A,2019-04-02,Tue,Primera A,Apertura Regular Season,Home,D 0–0,Rionegro,Huila,Y,GK,90,5,0,5,100.0,1,0,0,0,0,Match Report
60,Luis Enrique Delgado,Pasto,https://www.fbref.com//en/squads/6466f662/2019/s3927/Rionegro-Stats-Categoria-Primera-A,2019-04-07,Sun,Primera A,Apertura Regular Season,Away,L 0–2,Rionegro,Jaguares,Y,GK,90,4,2,3,75.0,0,1,1,0,0,Match Report
61,Luis Enrique Delgado,Pasto,https://www.fbref.com//en/squads/6466f662/2019/s3927/Rionegro-Stats-Categoria-Primera-A,2019-04-13,Sat,Primera A,Apertura Regular Season,Home,L 0–1,Rionegro,ADU Magdalena,N,,,,,,,,,,,,Match Report
