,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,Name,Team,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
56,Diego Herazo,CA Bucaramanga,2020-10-15,Thu,Primera A,First stage,Home,W 1–0,CA Bucaramanga,Pereira,Y,FW,90,1,0,0,0,4,1,0,0,0,3,0,0,0,1,0,,,Match Report
57,Diego Herazo,CA Bucaramanga,2020-10-18,Sun,Primera A,First stage,Away,L 1–2,CA Bucaramanga,La Equidad,Y,FW,84,1,0,0,0,3,1,0,0,1,1,4,0,1,1,0,,,Match Report
58,Diego Herazo,CA Bucaramanga,2020-10-26,Mon,Primera A,First stage,Home,W 1–0,CA Bucaramanga,Cúcuta,Y,FW,90,0,0,0,0,2,1,0,0,3,1,1,0,0,0,0,,,Match Report
59,Diego Herazo,CA Bucaramanga,2020-11-02,Mon,Primera A,First stage,Away,L 0–1,CA Bucaramanga,Boyacá Chicó,Y,FW,90,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,,,Match Report
60,Diego Herazo,CA Bucaramanga,2020-11-07,Sat,Primera A,First stage,Home,D 2–2,CA Bucaramanga,Jaguares,Y,FW,90,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,,,Match Report
61,Diego Herazo,CA Bucaramanga,2020-11-10,Tue,Primera A,First stage,Away,L 0–1,CA Bucaramanga,Independiente,Y,FW,80,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,,,Match Report
62,Diego Herazo,CA Bucaramanga,2020-11-14,Sat,Primera A,First stage,Home,L 1–2,CA Bucaramanga,Santa Fe,Y,FW,90,0,0,0,0,1,0,0,0,2,1,0,1,0,0,0,,,Match Report
63,Diego Herazo,CA Bucaramanga,2020-11-26,Thu,Primera A,Liguilla,Home,W 3–2,CA Bucaramanga,Alianza,Y,FW,89,1,1,1,1,2,1,0,0,4,2,2,1,0,0,0,,,Match Report
64,Diego Herazo,CA Bucaramanga,2020-12-03,Thu,Primera A,Liguilla,Away,D 0–0,CA Bucaramanga,Jaguares,Y,FW,90,0,0,0,0,4,1,0,0,1,0,2,0,0,1,0,,,Match Report
65,Diego Herazo,CA Bucaramanga,2020-12-16,Wed,Primera A,Semi-finals,Away,D 1 (2)–1 (3),CA Bucaramanga,Pereira,Y,FW,120,1,0,0,0,4,4,0,0,2,0,1,0,0,0,0,,,Match Report
66,Jair Palacios,CA Bucaramanga,2020-01-25,Sat,Primera A,First stage,Home,L 0–2,CA Bucaramanga,AD Cali,Y,RB,90,0,0,0,0,1,0,0,0,0,1,0,6,1,1,0,,,Match Report
67,Jair Palacios,CA Bucaramanga,2020-01-28,Tue,Primera A,First stage,Away,D 1–1,CA Bucaramanga,Once Caldas,Y,RB,90,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,,,Match Report
68,Jair Palacios,CA Bucaramanga,2020-02-01,Sat,Primera A,First stage,Home,D 0–0,CA Bucaramanga,Tolima,Y,RB,90,0,0,0,0,1,0,1,0,4,3,0,1,0,1,0,,,Match Report
69,Jair Palacios,CA Bucaramanga,2020-02-07,Fri,Primera A,First stage,Away,L 0–4,CA Bucaramanga,Pasto,Y,RB,90,0,0,0,0,1,1,0,0,1,3,1,1,1,0,0,,,Match Report
70,Jair Palacios,CA Bucaramanga,2020-02-16,Sun,Primera A,First stage,Away,L 0–4,CA Bucaramanga,Envigado,Y,AM,90,0,0,0,0,0,0,1,0,2,2,1,3,2,1,0,,,Match Report
71,Jair Palacios,CA Bucaramanga,2020-02-23,Sun,Primera A,First stage,Home,W 2–0,CA Bucaramanga,Rionegro,Y,RB,89,0,0,0,0,0,0,2,1,5,0,0,2,0,0,0,,,Match Report
72,Jair Palacios,CA Bucaramanga,2020-03-07,Sat,Primera A,First stage,Home,D 1–1,CA Bucaramanga,Junior,Y,RB,90,0,0,0,0,0,0,1,0,2,0,0,4,0,1,0,,,Match Report
